cs.com.cn	4.107337669448226	35473	21375	None	0	1150000	3950000	4
3news.cn	4.1200792145576575	2557	1655	191412	645615	354000	70	1
eeo.com.cn	4.124176382411557	7191	5470	36886	0	373000	292000	5
finance.ce.cn	4.1283384966247745	13894	11124	None	0	995000	125000	5
stcn.com	4.187674157481991	8321	3894	None	0	1210000	196000	5
zdnet.com	4.20453757658175	0	0	None	0	906000	128000	8
q.stock.sohu.com	4.253782281106275	23576	15805	None	0	824000	0	5
futures.hexun.com	4.566612092054902	10484	4169	None	0	886000	8960	5
chinatax.gov.cn	4.589255836238415	53083	18322	None	0	99400	0	6
stock.591hx.com	4.692217357079834	22867	13373	88384	0	483000	14800	5
finance.591hx.com	4.754716584421203	16797	10862	88384	0	521000	16	5
biz.163.com	4.76279605683287	959	592	485	0	336000	1130000	3
21jingji.com	4.8999504414549	2035	764	38954	170438	189000	13600	1
forex.cngold.org	5.040093142129715	13471	342	16775	0	844000	3170	4
finance.caijing.com.cn	5.220028115991512	731	152	226	0	121000	510000	3
news.hongzhoukan.com	5.248944309166983	503	288	980521	100900	91600	7	2
newyorker.com	5.31384318893711	0	0	None	0	341000	0	8
cfi.net.cn	5.325247287113028	8361	756	21321	0	873000	38200	4
gold.jrj.com.cn	5.395134597421685	1690	931	453	0	598000	0	3
money.hexun.com	5.543361291229861	3553	953	None	0	540000	50	5
thepaper.cn	5.55010374437721	41979	24051	None	0	1080000	9490000	3
fortunechina.com	5.5565957908562815	13867	5971	None	0	209000	85600	5
stock.stockstar.com	5.621141930440968	3906	1085	None	0	2900000	69700	4
jiemian.com	5.738215842591104	53152	33011	5029	0	534000	186000	3
finance.eastday.com	5.885284181212708	337	191	230	0	404000	23	3
money.jrj.com.cn	5.941945606949235	1191	247	453	0	331000	109000	3
wired.com	5.960282311120732	550	302	None	0	749000	3540000	4
insurance.hexun.com	6.034887554657153	2848	346	None	0	379000	82	5
cb.com.cn	6.202530515452386	6423	4245	81264	0	579000	459000	4
bbtnews.com.cn	6.214173424480112	5482	3256	103660	0	218000	53	5
finance.yahoo.com	6.819424343866572	2365	1262	None	0	576000	442000	4
money.591hx.com	6.8716778683352615	9991	4864	88384	0	498000	34	4
forex.cnfol.com	6.920067509192826	4356	2863	None	0	699000	22	4
newstock.cfi.cn	6.924286013247613	7581	4854	None	0	560000	17	4
economy.caijing.com.cn	6.984848093809728	1008	77	226	0	82100	17400	3
123.com.cn	7.0437304882736855	3818	2439	18364	0	668000	902000	3
mwr.gov.cn	7.063385608858404	5657	2851	None	0	91600	0	5
techcrunch.com	7.090136752530313	1117	605	None	0	760000	286000	4
chinaventure.com.cn	7.093051384333659	1868	792	49327	0	319000	179000	4
texindex.com.cn	7.105695252942468	4758	2574	None	0	577000	0	4
bank.hexun.com	7.114694546236812	3264	289	None	0	764000	0	4
chinavalue.net	7.129214113488672	3867	2012	194909	0	943000	107000	4
zdcj.net	7.186425151907766	31771	17911	240164	0	499000	58	4
ccement.com	7.208194227379703	7499	4579	164702	0	570000	65800	4
8btc.com	7.215524007823549	18517	6359	6764	0	296000	46400	3
news.cnstock.com	7.355848139156482	5329	3766	None	0	396000	16200	4
iheima.com	7.420056704172499	5515	2988	62885	0	166000	108000	4
afinance.cn	7.540817913253829	1910	811	None	0	555000	88	4
finance.gucheng.com	7.609187796675574	9895	187	None	0	307000	35	4
cnforex.com	7.725060794975348	3001	1625	24886	0	746000	397000	3
xinhua08.com	7.786745556512994	3001	1532	199536	0	615000	87	4
bond.hexun.com	7.833310768601688	1744	240	None	0	470000	94	4
fund.cnfol.com	7.893478565868772	1648	845	None	0	404000	17	4
ceweekly.cn	7.9185768459810895	2481	1288	70005	0	251000	87	4
futures.cngold.org	8.044745032720424	2794	292	16775	0	309000	403000	3
money.eastmoney.com	8.152303590750591	1102	62	4491	0	329000	0	3
stock.cngold.org	8.176475527545715	3759	463	16775	0	540000	10600	3
news.pedaily.cn	8.346472848339676	4135	2326	None	0	149000	26500	4
caiguu.com	8.396097475238701	2634	1587	None	0	198000	0	4
news.trjcn.com	8.509546093061196	71	1	85991	91975	82300	30	1
caijing.chinadaily.com.cn	8.533488055501861	399	247	317	182417	192000	4030	0
pe.pedaily.cn	8.594051184571601	2170	925	None	0	86500	97400	4
china5e.com	8.670162995708658	703	292	22518	0	758000	0	3
